"question_flag","answer_flag","interjection_flag","speech_flag","chamber_flag","stage_direction_flag","speaker_no","name","name.id","electorate","party","role","page.no","content","subdebateinfo","debateinfo","path","Speaker","Time"
"0","0","0","0","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","Thursday, 6 February 2025","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[1]","N/A","N/A"
"0","0","0","0","1","1","2","N/A","N/A","N/A","N/A","N/A","N/A","The SPEAKER ( Hon. Milton Dick ) took the chair at 09:00, made an acknowledgement of country and read prayers.","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[2]","N/A","N/A"
"0","0","0","0","1","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","/hansard/chamber.xscript/business.start/body/p[3]","N/A","N/A"
"0","0","0","1","1","0","4","N/A","N/A","N/A","N/A","N/A","N/A","On behalf of the Standing Committee on Appropriations and Administration, I present the committee's report entitled Report No. 31: Additional estimates 2024-25.  Report made a parliamentary paper.","Appropriations and Administration Committee","COMMITTEES","/hansard/chamber.xscript/debate[1]/subdebate.1/subdebate.2/speech/talk.text/body/p[1]","The SPEAKER ","(09:01):"
"0","0","0","1","1","0","5","N/A","N/A","N/A","N/A","N/A","N/A","I move:  That this bill be now read a second time. This week the new National Student Ombudsman opened its doors. It has the powers similar of a royal commission to investigate complaints made against a university. This is a national first. And it has been a long time coming—too long. For too long students have been let down by their universities and inaction by previous governments. Advocates have been ignored. And they shouldn't have been. The evidence is overwhelming. One in twenty university students reporting being sexually assaulted on campus. One in six reporting being sexually harassed. And one in two reporting that they felt they weren't being heard when they made a complaint. That's why I acted. That's why this government has acted, introducing legislation to create the first National Student Ombudsman. But this is just the first step. These bills that I introduce today are the next steps. They provide for the establishment and enforcement of a National Higher Education Code to Prevent and Respond to Gender Based Violence. The c ode The code will be made by the minister as a legislative instrument and it will set out best practice requirements that all higher education providers will be required to meet. It'll hold all higher education providers to consistently high standards to proactively prevent and respond to gender based violence. These standards will be backed by monitoring and enforcement to ensure that we build a culture of compliance in this critical area. Under the code, higher education providers will be required to take evidence based steps to prevent gender based violence on their campuses. This includes requiring vice-chancellors and CEOs to make a whole-of-organisation plan, and report to their governing bodies every six months on the actions they are taking to implement it. They will be required to provide evidence based prevention education and training to staff and students and consider any history of gender based violence in the recruitment and promotion of staff. They will be required to consult with students, staff and people with lived experience, and their approach must be informed by evidence of what works. The code will also ensure that when the worst happens, students and staff have access to the best response possible—a response that's trauma informed and puts people first, a response that ensures people are heard, have agency in what happens next, have access to the support they need and are supported by their institution to achieve their educational outcomes. Providers will be required to train staff and student leaders on how best to respond to disclosures. And nondisclosure agreements will be prohibited, unless requested by a victim-survivor. Providers will also be required to report de-identified data and measure the changes that their policies are securing, informing compliance, ensuring accountability and contributing to the national evidence base to help us build an understanding of what works best. The code will also include an enforceable requirement that providers implement the recommendations of the National Student Ombudsman. This gives the findings and recommendations of the ombudsman real teeth and will make sure that they are put in place to improve our universities and other providers. University is not just a place where people learn. For many students, it's where they live. That's why the code will also have specific requirements to help ensure that student accommodation is safe for students. The code will require that, following a disclosure or formal report, measures are immediately put in place to prioritise residents' safety and arrange urgent support services. And, for accommodation which is affiliated with a university but not controlled by it, the university will be required to seek that accommodation provider's agreement to meet the requirements of the code or lose the benefits of their affiliation with the university. And universities will have an obligation to investigate formal reports of gender based violence even where they occur at student accommodation which is operated by a third party. If you want to know why that's important, you just have to look at the accounts of sexual assault and mistreatment at university colleges and other on-campus accommodation. Universities will not have the option of saying a disclosure of gender based violence is a matter for a private college. Where the discloser or respondent is a student or staff member of the university, the code will require that the university take action, including to provide trauma informed support and to investigate where necessary. The code has been the subject of broad consultation over the past eight months, including with victim-survivor advocates, students, the higher education sector, gender based violence experts, states and territories and relevant Australian government agencies. Detailed consultation has taken place through an expert reference group comprising 19 leaders from higher education, gender based violence and the student accommodation sectors and victim-survivor advocates. I table a copy of the draft code for the information of colleagues. Monitoring and e nforcement The code contains critically important standards and requirements which all higher education providers must follow. That's why these bills also establish a new regulatory framework with robust compliance monitoring backed by strong enforcement powers. To monitor and enforce the code, a new specialist gender based violence unit will be established within the Department of Education. The unit will provide guidance, education and advice to support universities and other providers in understanding their legal obligations under the code. The unit will also be able to exercise a significant range of powers to monitor, investigate and respond to noncompliance with the code and the measures that are in this bill. These powers include issuing requests for information, compliance notices, infringement notices, and powers to require enforceable undertakings and to seek civil penalties and injunctions through a court. As I mentioned earlier, vice-chancellors and CEOs will be directly accountable for the compliance of their university with the code, including requirements that they report every six months to their governing body. The bills provide for significant civil penalties where a provider fails to comply with the national code or a compliance notice from the secretary, or fails to keep records or meet their reporting obligations. Compliance with the national code will also become a quality and accountability requirement for providers under the Higher Education Support Act 2003. Transparency is important here too. That's why the bill provides for annual reporting on the gender based violence unit's operations and performance which will be tabled in both houses of parliament. The introduction of the code is part of the Action Plan Addressing Gender-based Violence in Higher Education, agreed to by all education ministers in February last year. That action plan was recommended by a working group of Commonwealth, state and territory governments which my department convened as part of our response to the Australian Universities Accord interim report. The Universities Accord interim report underlined the importance of moving immediately to address sexual assault and sexual harassment in our universities. That's what I have done. The Student Ombudsman is now up and running. And these bills are the next steps. I want to thank everyone who has been involved in bringing them to the parliament today, from the Universities Accord panel, to the working group, the expert reference group and the education ministers across the country, to my colleagues and our respective departments and officers who have worked together to make today possible and most importantly to the advocates and the victims-survivors who have fought for this for so long—organisations like End Rape on Campus. End Rape on Campus was founded in 2016 by Sharna Bremner. She ran it with a small group of committed volunteers, working for free, working to make the lives of students safer—incredibly important work. When this parliament passed legislation late last year to set up the National Student Ombudsman, they put out this statement: End Rape on Campus Australia has now permanently closed … Almost 9 years to the day since our founding, we've done the thing that organisations like ours should be aiming to do—we've advocated ourselves out of business. We're incredibly thankful to everyone who has supported us over the years. End Rape on Campus didn't close because the work to rid our campuses of sexual assault and harassment is complete. It is not. It was because the government was finally listening—and we were bringing together the resources needed to make a real difference. That's what the National Student Ombudsman is. And that's what these bills and the draft national code are. I commend these bills to the House. Debate adjourned.","Universities Accord (National Higher Education Code to Prevent and Respond to Gender-based Violence) Bill 2025","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[1]/subdebate.2[2]/speech/talk.text/body/p[1]","Mr CLARE (Blaxland—Minister for Education) ","(09:02):"
"0","0","0","1","1","0","6","N/A","N/A","N/A","N/A","N/A","N/A","I move:  That this bill be now read a second time. This bill is part of a package of two bills which together will implement the National Higher Education Code to Prevent and Respond to Gender-based Violence in universities. This bill makes consequential amendments necessary to implement the measures in the main bill, which I just introduced. Full details of the measures are contained in the explanatory memorandum. I commend this bill to the House. Debate adjourned.","Universities Accord (National Higher Education Code to Prevent and Respond to Gender-based Violence) (Consequential Amendments) Bill 2025","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[2]/subdebate.2[2]/speech/talk.text/body/p[1]","Mr CLARE (Blaxland—Minister for Education) ","(09:12):"
"0","0","0","1","1","0","7","N/A","N/A","N/A","N/A","N/A","N/A","The question before the House is that government amendment (1) on sheet AA101 be agreed to.  I'll now deal with the amendments moved by the member for Wentworth. Unresolved question— That amendments (1), (11), (13) and (14) moved by the honourable member for Wentworth be agreed to: (1) Schedule 1, item 1, page 3 (line 7), after 'genocide,', insert 'promoting hatred,'. (11) Schedule 1, page 8 (after line 10), after item 19, insert: 19A After Subdivision C of Division 80 of the Criminal Code Insert: Subdivision CAA — Promoting hatred 80.2DA Promoting hatred Offence (1) A person commits an offence if: (a) the person does an act; and (b) the person does the act publicly; and (c) the person does the act with the intention to promote hatred towards, harassment, threats, intimidation or abuse of, another person (the targeted person) or group (the targeted group); and (d) the targeted person or the targeted group is distinguished by race, religion, sex, sexual orientation, gender identity, sex characteristics, disability, nationality, national or ethnic origin or personal association (whether as a relative or otherwise) with a person who is distinguished by any of those attributes; and (e) the act promotes, or is reasonably likely to promote, such hatred, or to harass, threaten, intimidate or abuse that targeted person or some or all of the members of the targeted group. Penalty: 250 penalty units or imprisonment for 2 years, or both. (2) For the purposes of paragraph (1) (d), it is immaterial whether the targeted person actually is so distinguished by the attribute or attributes mentioned in that paragraph or actually is a member of the targeted group. (3) For the purposes of paragraph (1) (d), the person may have in mind a combination of attributes mentioned in that paragraph. (4) The fault element for paragraph (1) (d) is recklessness. Note: For recklessness, see section 5.4. (5) Strict liability applies to paragraph (1) (e). Interim orders (6) A court may make an interim order on application by the prosecutor or on its own initiative if the court is satisfied that: (a) both of the following apply: (i) there is sufficient evidence that the person committed the offence; (ii) the making of the interim order is reasonably necessary to prevent the person from continuing to commit the offence or committing further offences; or (b) the making of the interim order is reasonably necessary to preserve or secure any matter or thing that may be or become evidence in any proceedings relating to the charge. Definitions (7) In this section: association with another person includes: (a) being a near relative of the person; or (b) living with the person on a genuine domestic basis; or (c) having a formal business or employment relationship with the person. hatred includes detestation, enmity, ill-will, revulsion, serious contempt and malevolence. promoting includes: (a) publicising, advocating or glorifying; and (b) eliciting or stirring up (whether effectively or ineffectively) a feeling or feelings in another person, or in or among other persons. publicly includes: (a) speaking, writing, displaying notices, playing of recorded material, broadcasting and communicating through social media and other electronic methods, to the public or a section of the public (whether or not the public have access to the communication as of right or by invitation, whether express or implied and whether or not a charge is made); and (b) any conduct, including actions and gestures and the wearing or display of clothing, signs, flags, emblems and insignia, observable by the public; and (c) the distribution or dissemination of any matter to the public or a section of the public; and (d) acts done in a public place; or (e) acts done in the sight or hearing of people who are in a public place. Note: For public place, see the definition in the Dictionary. (8) For the purposes of the definition of publicly in subsection (8), an act may be done publicly even if the act occurs on private land or in a place that is not ordinarily accessed by the public. (13) Schedule 1, item 21, page 8 (lines 16 and 17), omit 'and 80.2BB', substitute ', 80.2BB and 80.2DA'. (14) Schedule 1, page 8 (after line 21), at the end of the Schedule, add: 23 After paragraph 80.4 (2) (c) of the Criminal Code Insert: (da) subsection 80.2DA (1); or Question negatived. Unresolved question— That amendments (2) to (10) and (12) moved by the honourable member for Wentworth be agreed to: (2) Schedule 1, page 3 (after line 12), after item 2, insert: 2A Section 80.1A of the Criminal Code Insert: sex characteristics, of a person, means the person's physical features and development related to the person's sex, and includes: (a) genitalia, gonads and other sexual and reproductive parts of the person's anatomy; and (b) the person's chromosomes, genes and hormones that are related to the person's sex; and (c) the person's secondary physical features emerging as a result of puberty. (3) Schedule 1, item 4, page 3 (line 17), omit 'intersex status', substitute 'sex characteristics'. (4) Schedule 1, item 7, page 3 (line 25), omit 'intersex status', substitute 'sex characteristics'. (5) Schedule 1, item 12, page 4 (line 15), omit 'intersex status', substitute 'sex characteristics'. (6) Schedule 1, item 15, page 4 (line 23), omit 'intersex status', substitute 'sex characteristics'. (7) Schedule 1, item 19, page 5 (line 14), omit 'intersex status', substitute 'sex characteristics'. (8) Schedule 1, item 19, page 5 (line 26), omit 'intersex status', substitute 'sex characteristics'. (9) Schedule 1, item 19, page 6 (line 30), omit 'intersex status', substitute 'sex characteristics'. (10) Schedule 1, item 19, page 7 (line 14), omit 'intersex status', substitute 'sex characteristics'. (12) Schedule 1, item 20, page 8 (lines 13 and 14), omit 'intersex status', substitute 'sex characteristics'. Question negatived. I'll now deal with the amendments moved by the opposition. Unresolved question— That opposition amendments (1) to (4) on sheet 3 be agreed to: (1) Schedule 1, page 3 (before line 3), before item 1, insert: Crimes Act 1914 1A Section 16AAA (after table item 1) Insert: 1F offence against subsection 80.2BE (1) or (2) of the Criminal Code 12 months (2) Schedule 1, item 19, page 8 (after line 10), at the end of the item, add: 80.2BE Advocating force or violence through causing damage to property Offences (1) A person (the first person) commits an offence if: (a) the first person intentionally advocates for another person, or a group, to use force or violence against a group (the targeted group); and (b) the first person does so by causing damage to property; and (c) the first person does so reckless as to whether the force or violence will occur; and (d) the targeted group is distinguished by race, religion or ethnic origin; and (e) the use of force or violence would threaten the peace, order and good government of the Commonwealth. Penalty: Imprisonment for 7 years. Note: For intention, see section 5.2. For recklessness, see section 5.4. (2) A person (the first person) commits an offence if: (a) the first person intentionally advocates for another person, or a group, to use force or violence against a group (the targeted group); and (b) the first person does so by causing damage to property; and (c) the first person does so reckless as to whether the force or violence will occur; and (d) the targeted group is distinguished by race, religion or ethnic origin. Penalty: Imprisonment for 5 years. Note: For intention, see section 5.2. For recklessness, see section 5.4. (3) The fault element for paragraphs (1) (d) and (2) (d) is recklessness. Note: For recklessness, see section 5.4. (4) For the purposes of paragraphs (1) (d) and (2) (d), the person may have in mind a combination of attributes mentioned in those paragraphs. Alternative verdict (5) Subsection (6) applies if, in a prosecution for an offence (the prosecuted offence) against subsection (1), the trier of fact: (a) is not satisfied that the defendant is guilty of the offence; but (b) is satisfied beyond reasonable doubt that the defendant is guilty of an offence (the alternative offence) against subsection (2). (6) The trier of fact may find the defendant not guilty of the prosecuted offence but guilty of the alternative offence, so long as the defendant has been accorded procedural fairness in relation to that finding of guilt. Meaning of damage (7) In this section: damage includes minor damage. Example: An offensive slogan painted on a building (advocating the use of force or violence against Jews) is damage for the purposes of this section. (3) Schedule 1, item 21, page 8 (line 17), omit ')', substitute 'and 80.2BE)'. (4) Schedule 1, item 22, page 8 (after line 21), at the end of the item, add: (ce) subsection 80.2BE (2); or Question agreed to. Bill, as amended, agreed to.","Criminal Code Amendment (Hate Crimes) Bill 2024","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2[1]/speech[1]/talk.text/body/p[1]","The SPEAKER ","(09:19):"
"0","0","1","0","1","0","8","Dick, Milton MP ","53517","Oxley","ALP","N/A","323","N/A","Criminal Code Amendment (Hate Crimes) Bill 2024","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2[1]/speech[2]/interjection/talk.start","N/A","N/A"
"0","0","0","1","1","0","8","Dick, Milton MP ","53517","N/A","N/A","N/A","N/A","by leave—I move:  That this bill be now read a third time. And I move: That the question be now put. The question is that the question be now put.","Criminal Code Amendment (Hate Crimes) Bill 2024","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2[2]/speech[1]/talk.text/body/p[1]","Mr BURKE (Watson—Minister for the Arts, Minister for Home Affairs, Minister for Cyber Security, Minister for Immigration and Multicultural Affairs and Leader of the House) ","(09:27):"
"0","0","1","0","1","0","8","Dick, Milton MP ","53517","Oxley","ALP","N/A","325","N/A","Criminal Code Amendment (Hate Crimes) Bill 2024","BILLS","/hansard/chamber.xscript/debate[2]/subdebate.1[3]/subdebate.2[2]/speech[1]/interjection/talk.start","N/A","N/A"
